,Small-Low,Small-High,Big-Low,Big-High,Market,Rf
192607,1.0874,-0.0695,5.7168,2.0066,3.18,0.22
192608,0.703,5.3842,2.7154,5.6796,2.89,0.25
192609,-2.9117,-0.4374,1.4287,-0.7928,0.59,0.23
192610,-3.8196,-2.0112,-3.5898,-3.9998,-2.92,0.32
192611,3.1806,2.0944,3.1292,3.1934,2.84,0.31
192612,2.6862,3.2639,2.9678,2.299,2.9,0.28
192701,-0.7991,3.9316,-0.2621,4.0885,0.19,0.25
192702,3.7129,6.6192,5.0044,7.988,4.44,0.26
192703,-1.8324,-3.1676,1.3025,-2.5908,0.43,0.3
192704,-1.671,3.4796,3.051,-0.4809,0.71,0.25
192705,5.4766,13.3256,5.4076,7.0144,5.74,0.3
192706,-1.5481,-3.9474,-0.9628,-2.0151,-2.08,0.26
192707,4.2702,3.9846,9.2637,7.2603,7.56,0.3
192708,2.4503,0.86,3.9309,-1.9651,2.25,0.28
192709,2.2496,0.399,5.3697,5.9674,4.97,0.21
192710,-0.2072,-5.8357,-3.5889,-6.6219,-4.06,0.25
192711,10.3238,10.2275,7.0845,6.6346,6.79,0.21
192712,5.701,2.4506,2.4925,3.4755,2.31,0.22
192801,3.2211,3.5948,-0.4427,-2.3168,-0.43,0.25
192802,-4.8858,-4.1271,-0.6772,-2.7296,-1.37,0.33
192803,7.3978,9.457,12.3241,7.8254,9.1,0.29
192804,4.665,9.9723,2.9336,4.4979,4.45,0.22
192805,7.1742,2.574,2.575,0.6388,1.84,0.32
192806,-8.5829,-6.8294,-3.604,-5.4164,-4.54,0.31
192807,-0.4048,-0.8867,1.359,0.8312,0.94,0.32
192808,6.124,3.699,8.7368,6.8565,7,0.32
192809,5.7317,6.1762,2.9576,4.2317,3.15,0.27
192810,6.8299,1.6621,1.359,2.1979,1.74,0.41
192811,8.6705,12.2831,11.1602,12.9505,12.19,0.38
192812,0.9055,-0.6462,0.9332,1.1879,0.42,0.06
192901,-0.034,1.448,6.5262,2.5673,5,0.34
192902,0.7414,0.382,-0.5791,3.0915,0.02,0.36
192903,-5.9533,-4.0571,-1.3835,-0.1243,-0.55,0.34
192904,-0.0822,0.5004,2.2172,2.808,1.79,0.36
192905,-10.2009,-12.5598,-5.7297,-6.2127,-5.95,0.44
192906,6.9673,6.4064,12.4593,7.4384,10.22,0.52
192907,-0.0602,3.8633,3.5656,5.0527,4.79,0.33
192908,-0.7741,-0.4544,7.272,7.2052,8.58,0.4
192909,-4.2711,-3.6218,-4.4211,-6.3661,-5.12,0.35
192910,-21.5559,-19.8329,-24.1865,-10.3484,-19.66,0.46
192911,-16.1934,-12.3366,-14.2535,-8.0015,-12.37,0.37
192912,-2.7485,-1.8488,3.3988,1.4208,1.7,0.37
193001,6.0455,8.4631,7.1735,2.8433,5.75,0.14
193002,1.7451,4.3779,3.4639,1.2229,2.8,0.3
193003,8.6368,10.7647,6.816,5.3421,7.45,0.35
193004,-7.0717,-3.4814,-2.361,-6.6589,-1.85,0.21
193005,-3.6161,-2.9578,0.7061,-1.4054,-1.4,0.26
193006,-17.4935,-18.9287,-17.849,-11.7533,-16,0.27
193007,6.5208,2.4342,4.7058,5.283,4.32,0.2
193008,-3.7646,-2.2723,1.0169,-1.6956,0.39,0.09
193009,-13.6823,-18.7882,-12.3871,-17.1944,-12.53,0.22
193010,-10.1007,-10.6915,-9.3455,-11.5093,-8.69,0.09
193011,0.2231,-2.7361,-2.1847,-6.5408,-2.91,0.13
193012,-10.4113,-17.205,-6.0724,-9.7812,-7.69,0.14
193101,9.8982,14.9795,4.5109,13.6747,6.39,0.15
193102,13.1802,17.4089,12.511,12.1228,10.92,0.04
193103,-4.3393,-7.1311,-4.7492,-8.8363,-6.3,0.13
193104,-12.8802,-17.9722,-8.9215,-11.4677,-9.9,0.08
193105,-9.6516,-13.8027,-11.3507,-20.347,-13.15,0.09
193106,10.1107,20.5193,13.0405,25.2073,13.98,0.08
193107,-8.5867,-5.7543,-5.1707,-12.2143,-6.56,0.06
193108,-1.6114,-3.7141,0.9,0.0531,0.44,0.03
193109,-26.5722,-33.8737,-28.8663,-35.1131,-29.1,0.03
193110,4.2319,5.4616,9.5453,11.7214,8.14,0.1
193111,-7.7335,-9.3774,-6.1307,-14.5665,-8.91,0.17
193112,-13.7987,-22.3956,-11.573,-20.6686,-13.41,0.12
193201,2.4924,10.4927,-3.4315,6.6353,-1.35,0.23
193202,-2.4754,1.3694,7.1096,0.3507,5.69,0.23
193203,-10.5259,-10.62,-10.2077,-14.746,-11.05,0.16
193204,-19.3072,-16.0307,-18.1229,-18.5418,-17.85,0.11
193205,-17.1387,-16.8918,-19.2221,-25.436,-20.45,0.06
193206,0.954,0.9934,-1.7165,8.8476,-0.68,0.02
193207,31.5257,63.1945,28.1983,67.7486,33.87,0.03
193208,46.2878,83.4957,31.3379,62.6122,37.09,0.03
193209,-1.6614,-12.4928,-1.0435,-4.9399,-2.91,0.03
193210,-15.8052,-23.8446,-10.7558,-23.3789,-13.15,0.02
193211,-0.4275,-13.1841,-2.7209,-16.194,-5.86,0.02
193212,-6.9549,-11.112,6.8555,-4.4353,4.41,0.01
193301,5.009,8.045,-0.0131,9.6714,1.26,0.01
193302,-17.3761,-20.862,-14.9526,-17.3652,-15.27,-0.03
193303,6.8621,16.0253,0.96,6.8707,3.33,0.04
193304,40.7625,56.5968,33.766,57.2289,38.95,0.1
193305,59.573,73.3276,16.9982,41.6305,21.47,0.04
193306,32.7005,18.324,11.3873,22.2102,13.13,0.02
193307,-14.1385,-7.2303,-8.8583,-9.2208,-9.61,0.02
193308,10.5585,8.2846,10.5958,18.8615,12.08,0.03
193309,-7.6121,-20.857,-9.1454,-19.3866,-10.63,0.02
193310,-8.4949,-14.0569,-6.1614,-17.7448,-8.35,0.01
193311,4.4492,6.0824,9.69,12.6924,9.99,0.02
193312,4.7702,0.41,2.1093,3.3536,1.85,0.02
193401,21.5203,38.4208,9.8669,24.1368,12.65,0.05
193402,-0.2935,5.14,-2.3815,-3.81,-2.48,0.02
193403,4.7722,-0.0115,-0.0029,-0.62,0.11,0.02
193404,2.8356,-1.7852,-1.778,-4.616,-1.78,0.01
193405,-7.3381,-12.0106,-6.4033,-13.5106,-7.24,0.01
193406,3.7672,-2.3777,2.628,2.8615,2.65,0.01
193407,-18.0226,-24.5454,-8.311,-23.179,-10.95,0.01
193408,10.9235,11.413,6.0718,5.7691,5.59,0.01
193409,-0.9255,-3.4898,-0.2597,-0.105,-0.22,0.01
193410,-0.925,-4.1267,-0.4115,-7.369,-1.65,0.01
193411,17.4218,12.699,10.2402,10.6573,8.34,0.01
193412,4.9409,1.6419,0.7507,-2.2372,0.37,0.01
193501,-5.5523,-3.0507,-3.0099,-9.3128,-3.44,0.01
193502,-3.5225,-6.2649,-0.8581,-12.9875,-1.92,0.02
193503,-5.9234,-11.3866,-2.9715,-7.7499,-3.67,0.01
193504,6.7174,10.6336,8.0311,13.0598,9.07,0.01
193505,-2.6657,1.8238,3.137,3.957,3.48,0.01
193506,5.8129,0.7292,6.3821,8.0813,5.94,0.01
193507,9.6466,13.5159,6.9882,16.9724,7.52,0.01
193508,3.627,14.5997,2.5694,3.7559,2.66,0.01
193509,5.0664,0.4572,4.6757,1.1354,2.64,0.01
