PERMNO,date,TICKER,COMNAM,PRC,RET,sprtrn
10104,19910131,ORCL,ORACLE SYSTEMS CORP,9,0.142857,0.041518
10104,19910228,ORCL,ORACLE SYSTEMS CORP,9,0,0.067281
10104,19910328,ORCL,ORACLE SYSTEMS CORP,9,0,0.022203
10104,19910430,ORCL,ORACLE SYSTEMS CORP,9.25,0.027778,0.000346
10104,19910531,ORCL,ORACLE SYSTEMS CORP,7.5,-0.189189,0.038577
10104,19910628,ORCL,ORACLE SYSTEMS CORP,8.5,0.133333,-0.047893
10104,19910731,ORCL,ORACLE SYSTEMS CORP,9.125,0.073529,0.044859
10104,19910830,ORCL,ORACLE SYSTEMS CORP,11.25,0.232877,0.019649
10104,19910930,ORCL,ORACLE SYSTEMS CORP,13.375,0.188889,-0.019144
10104,19911031,ORCL,ORACLE SYSTEMS CORP,15.75,0.17757,0.01186
10104,19911129,ORCL,ORACLE SYSTEMS CORP,13.5,-0.142857,-0.043928
10104,19911231,ORCL,ORACLE SYSTEMS CORP,14.5,0.074074,0.111588
10104,19920131,ORCL,ORACLE SYSTEMS CORP,18.5,0.275862,-0.0199
10104,19920228,ORCL,ORACLE SYSTEMS CORP,20,0.081081,0.009565
10104,19920331,ORCL,ORACLE SYSTEMS CORP,13.5,-0.325,-0.021832
10104,19920430,ORCL,ORACLE SYSTEMS CORP,13.875,0.027778,0.027893
10104,19920529,ORCL,ORACLE SYSTEMS CORP,14.875,0.072072,0.000964
10104,19920630,ORCL,ORACLE SYSTEMS CORP,15.25,0.02521,-0.017359
10104,19920731,ORCL,ORACLE SYSTEMS CORP,18.625,0.221311,0.039374
10104,19920831,ORCL,ORACLE SYSTEMS CORP,17.5,-0.060403,-0.023998
10104,19920930,ORCL,ORACLE SYSTEMS CORP,20,0.142857,0.009106
10104,19921030,ORCL,ORACLE SYSTEMS CORP,22.25,0.1125,0.002106
10104,19921130,ORCL,ORACLE SYSTEMS CORP,22.25,0,0.030262
10104,19921231,ORCL,ORACLE SYSTEMS CORP,28.375,0.275281,0.010108
10104,19930129,ORCL,ORACLE SYSTEMS CORP,32.5,0.145374,0.007046
10104,19930226,ORCL,ORACLE SYSTEMS CORP,32.75,0.007692,0.010484
10104,19930331,ORCL,ORACLE SYSTEMS CORP,36.75,0.122137,0.018697
10104,19930430,ORCL,ORACLE SYSTEMS CORP,35.625,-0.030612,-0.025417
10104,19930528,ORCL,ORACLE SYSTEMS CORP,41.75,0.17193,0.022717
10104,19930630,ORCL,ORACLE SYSTEMS CORP,49.25,0.179641,0.000755
10104,19930730,ORCL,ORACLE SYSTEMS CORP,50.375,0.022843,-0.005327
10104,19930831,ORCL,ORACLE SYSTEMS CORP,51.5,0.022333,0.034432
10104,19930930,ORCL,ORACLE SYSTEMS CORP,61.375,0.191748,-0.009988
10104,19931029,ORCL,ORACLE SYSTEMS CORP,59.25,-0.034623,0.019393
10104,19931130,ORCL,ORACLE SYSTEMS CORP,31.625,0.067511,-0.012911
10104,19931231,ORCL,ORACLE SYSTEMS CORP,28.75,-0.090909,0.010091
10104,19940131,ORCL,ORACLE SYSTEMS CORP,32.125,0.117391,0.032501
10104,19940228,ORCL,ORACLE SYSTEMS CORP,33,0.027237,-0.030045
10104,19940331,ORCL,ORACLE SYSTEMS CORP,32.125,-0.026515,-0.045746
10104,19940429,ORCL,ORACLE SYSTEMS CORP,29.875,-0.070039,0.011531
10104,19940531,ORCL,ORACLE SYSTEMS CORP,34.25,0.146444,0.012419
10104,19940630,ORCL,ORACLE SYSTEMS CORP,37.5,0.094891,-0.026812
10104,19940729,ORCL,ORACLE SYSTEMS CORP,38.25,0.02,0.031467
10104,19940831,ORCL,ORACLE SYSTEMS CORP,42.6875,0.116013,0.037643
10104,19940930,ORCL,ORACLE SYSTEMS CORP,43,0.007321,-0.026898
10104,19941031,ORCL,ORACLE SYSTEMS CORP,46,0.069767,0.020834
10104,19941130,ORCL,ORACLE SYSTEMS CORP,41.25,-0.103261,-0.039505
10104,19941230,ORCL,ORACLE SYSTEMS CORP,44.125,0.069697,0.012299
10104,19950131,ORCL,ORACLE SYSTEMS CORP,42.625,-0.033994,0.024278
10104,19950228,ORCL,ORACLE SYSTEMS CORP,31.375,0.104106,0.036074
10104,19950331,ORCL,ORACLE SYSTEMS CORP,31.25,-0.003984,0.027329
10104,19950428,ORCL,ORACLE SYSTEMS CORP,30.5,-0.024,0.02796
10104,19950531,ORCL,ORACLE SYSTEMS CORP,34.75,0.139344,0.036312
10104,19950630,ORCL,ORACLE CORP,38.625,0.111511,0.021279
10104,19950731,ORCL,ORACLE CORP,41.875,0.084142,0.031776
10104,19950831,ORCL,ORACLE CORP,40.125,-0.041791,-0.00032
10104,19950929,ORCL,ORACLE CORP,38.375,-0.043614,0.040098
10104,19951031,ORCL,ORACLE CORP,43.625,0.136808,-0.004979
10104,19951130,ORCL,ORACLE CORP,45.375,0.040115,0.041049
10104,19951229,ORCL,ORACLE CORP,42.375,-0.066116,0.017444
10104,19960131,ORCL,ORACLE CORP,47.75,0.126844,0.032617
10104,19960229,ORCL,ORACLE CORP,52,0.089005,0.006934
10104,19960329,ORCL,ORACLE CORP,47.125,-0.09375,0.007917
10104,19960430,ORCL,ORACLE CORP,33.75,0.074271,0.013431
10104,19960531,ORCL,ORACLE CORP,33.125,-0.018519,0.022853
10104,19960628,ORCL,ORACLE CORP,39.4375,0.190566,0.002257
10104,19960731,ORCL,ORACLE CORP,39.125,-0.007924,-0.045748
10104,19960830,ORCL,ORACLE CORP,35.25,-0.099042,0.018814
10104,19960930,ORCL,ORACLE CORP,42.5625,0.207447,0.054173
10104,19961031,ORCL,ORACLE CORP,42.3125,-0.005874,0.026131
10104,19961129,ORCL,ORACLE CORP,49,0.15805,0.073376
10104,19961231,ORCL,ORACLE CORP,41.75,-0.147959,-0.021505
10104,19970131,ORCL,ORACLE CORP,38.875,-0.068862,0.061317
10104,19970228,ORCL,ORACLE CORP,39.25,0.009646,0.005928
10104,19970331,ORCL,ORACLE CORP,38.5625,-0.017516,-0.042614
10104,19970430,ORCL,ORACLE CORP,39.75,0.030794,0.058406
10104,19970530,ORCL,ORACLE CORP,46.625,0.172956,0.058577
10104,19970630,ORCL,ORACLE CORP,50.375,0.080429,0.043453
10104,19970731,ORCL,ORACLE CORP,54.4375,0.080645,0.078123
10104,19970829,ORCL,ORACLE CORP,38.125,0.050517,-0.057446
10104,19970930,ORCL,ORACLE CORP,36.4375,-0.044262,0.053154
10104,19971031,ORCL,ORACLE CORP,35.78125,-0.01801,-0.034478
10104,19971128,ORCL,ORACLE CORP,33.3125,-0.068996,0.044587
10104,19971231,ORCL,ORACLE CORP,22.3125,-0.330206,0.015732
10104,19980130,ORCL,ORACLE CORP,23.25,0.042017,0.01015
10104,19980227,ORCL,ORACLE CORP,24.625,0.05914,0.070449
10104,19980331,ORCL,ORACLE CORP,31.5625,0.281726,0.049946
10104,19980430,ORCL,ORACLE CORP,25.875,-0.180198,0.009076
10104,19980529,ORCL,ORACLE CORP,23.625,-0.086957,-0.018826
10104,19980630,ORCL,ORACLE CORP,24.5625,0.039683,0.039438
10104,19980731,ORCL,ORACLE CORP,26.5,0.07888,-0.011615
10104,19980831,ORCL,ORACLE CORP,19.9375,-0.247642,-0.145797
10104,19980930,ORCL,ORACLE CORP,29.125,0.460815,0.062396
10104,19981030,ORCL,ORACLE CORP,29.5625,0.015021,0.080294
10104,19981130,ORCL,ORACLE CORP,34.25,0.158562,0.059126
10104,19981231,ORCL,ORACLE CORP,43.125,0.259124,0.056375
10104,19990129,ORCL,ORACLE CORP,55.375,0.284058,0.041009
10104,19990226,ORCL,ORACLE CORP,55.875,0.009029,-0.032283
10104,19990331,ORCL,ORACLE CORP,26.375,-0.291946,0.038794
10104,19990430,ORCL,ORACLE CORP,27.0625,0.026066,0.037944
10104,19990528,ORCL,ORACLE CORP,24.8125,-0.083141,-0.02497
10104,19990630,ORCL,ORACLE CORP,37.125,0.496222,0.054438
10104,19990730,ORCL,ORACLE CORP,38.0625,0.025253,-0.032046
10104,19990831,ORCL,ORACLE CORP,36.5,-0.041051,-0.006254
10104,19990930,ORCL,ORACLE CORP,45.5,0.246575,-0.028552
10104,19991029,ORCL,ORACLE CORP,47.5625,0.04533,0.062539
10104,19991130,ORCL,ORACLE CORP,67.8125,0.425756,0.019062
10104,19991231,ORCL,ORACLE CORP,112.0625,0.652535,0.057844
10104,20000131,ORCL,ORACLE CORP,49.95313,-0.108477,-0.050904
10104,20000229,ORCL,ORACLE CORP,74.25,0.486393,-0.020108
10104,20000331,ORCL,ORACLE CORP,78.0625,0.051347,0.09672
10104,20000428,ORCL,ORACLE CORP,79.9375,0.024019,-0.030796
10104,20000531,ORCL,ORACLE CORP,71.875,-0.10086,-0.021915
10104,20000630,ORCL,ORACLE CORP,84.0625,0.169565,0.023934
10104,20000731,ORCL,ORACLE CORP,75.1875,-0.105576,-0.016341
10104,20000831,ORCL,ORACLE CORP,90.9375,0.209476,0.060699
10104,20000929,ORCL,ORACLE CORP,78.75,-0.134021,-0.053483
10104,20001031,ORCL,ORACLE CORP,33,-0.161905,-0.004949
10104,20001130,ORCL,ORACLE CORP,26.5,-0.19697,-0.080069
10104,20001229,ORCL,ORACLE CORP,29.0625,0.096698,0.004053
10104,20010131,ORCL,ORACLE CORP,29.125,0.002151,0.034637
10104,20010228,ORCL,ORACLE CORP,19,-0.347639,-0.092291
10104,20010330,ORCL,ORACLE CORP,14.98,-0.211579,-0.064205
10104,20010430,ORCL,ORACLE CORP,16.16,0.078772,0.076814
10104,20010531,ORCL,ORACLE CORP,15.3,-0.053218,0.00509
10104,20010629,ORCL,ORACLE CORP,19,0.24183,-0.025004
10104,20010731,ORCL,ORACLE CORP,18.08,-0.048421,-0.010772
10104,20010831,ORCL,ORACLE CORP,12.21,-0.324668,-0.064108
10104,20010928,ORCL,ORACLE CORP,12.58,0.030303,-0.081723
10104,20011031,ORCL,ORACLE CORP,13.56,0.077901,0.018099
10104,20011130,ORCL,ORACLE CORP,14.03,0.034661,0.075176
10104,20011231,ORCL,ORACLE CORP,13.81,-0.015681,0.007574
10104,20020131,ORCL,ORACLE CORP,17.26,0.249819,-0.015574
10104,20020228,ORCL,ORACLE CORP,16.62,-0.03708,-0.020766
