DATE,GS10
1953/4/1,2.83
1953/5/1,3.05
1953/6/1,3.11
1953/7/1,2.93
1953/8/1,2.95
1953/9/1,2.87
1953/10/1,2.66
1953/11/1,2.68
1953/12/1,2.59
1954/1/1,2.48
1954/2/1,2.47
1954/3/1,2.37
1954/4/1,2.29
1954/5/1,2.37
1954/6/1,2.38
1954/7/1,2.3
1954/8/1,2.36
1954/9/1,2.38
1954/10/1,2.43
1954/11/1,2.48
1954/12/1,2.51
1955/1/1,2.61
1955/2/1,2.65
1955/3/1,2.68
1955/4/1,2.75
1955/5/1,2.76
1955/6/1,2.78
1955/7/1,2.9
1955/8/1,2.97
1955/9/1,2.97
1955/10/1,2.88
1955/11/1,2.89
1955/12/1,2.96
1956/1/1,2.9
1956/2/1,2.84
1956/3/1,2.96
1956/4/1,3.18
1956/5/1,3.07
1956/6/1,3
1956/7/1,3.11
1956/8/1,3.33
1956/9/1,3.38
1956/10/1,3.34
1956/11/1,3.49
1956/12/1,3.59
1957/1/1,3.46
1957/2/1,3.34
1957/3/1,3.41
1957/4/1,3.48
1957/5/1,3.6
1957/6/1,3.8
1957/7/1,3.93
1957/8/1,3.93
1957/9/1,3.92
1957/10/1,3.97
1957/11/1,3.72
1957/12/1,3.21
1958/1/1,3.09
1958/2/1,3.05
1958/3/1,2.98
1958/4/1,2.88
1958/5/1,2.92
1958/6/1,2.97
1958/7/1,3.2
1958/8/1,3.54
1958/9/1,3.76
1958/10/1,3.8
1958/11/1,3.74
1958/12/1,3.86
1959/1/1,4.02
1959/2/1,3.96
1959/3/1,3.99
1959/4/1,4.12
1959/5/1,4.31
1959/6/1,4.34
1959/7/1,4.4
1959/8/1,4.43
1959/9/1,4.68
1959/10/1,4.53
1959/11/1,4.53
1959/12/1,4.69
1960/1/1,4.72
1960/2/1,4.49
1960/3/1,4.25
1960/4/1,4.28
1960/5/1,4.35
1960/6/1,4.15
1960/7/1,3.9
1960/8/1,3.8
1960/9/1,3.8
1960/10/1,3.89
1960/11/1,3.93
1960/12/1,3.84
1961/1/1,3.84
1961/2/1,3.78
1961/3/1,3.74
1961/4/1,3.78
1961/5/1,3.71
1961/6/1,3.88
1961/7/1,3.92
1961/8/1,4.04
1961/9/1,3.98
1961/10/1,3.92
1961/11/1,3.94
1961/12/1,4.06
1962/1/1,4.08
1962/2/1,4.04
1962/3/1,3.93
1962/4/1,3.84
1962/5/1,3.87
1962/6/1,3.91
1962/7/1,4.01
1962/8/1,3.98
1962/9/1,3.98
1962/10/1,3.93
1962/11/1,3.92
1962/12/1,3.86
1963/1/1,3.83
1963/2/1,3.92
1963/3/1,3.93
1963/4/1,3.97
1963/5/1,3.93
1963/6/1,3.99
1963/7/1,4.02
1963/8/1,4
1963/9/1,4.08
1963/10/1,4.11
1963/11/1,4.12
1963/12/1,4.13
1964/1/1,4.17
1964/2/1,4.15
1964/3/1,4.22
1964/4/1,4.23
1964/5/1,4.2
1964/6/1,4.17
1964/7/1,4.19
1964/8/1,4.19
1964/9/1,4.2
1964/10/1,4.19
1964/11/1,4.15
1964/12/1,4.18
1965/1/1,4.19
1965/2/1,4.21
1965/3/1,4.21
1965/4/1,4.2
1965/5/1,4.21
1965/6/1,4.21
1965/7/1,4.2
1965/8/1,4.25
1965/9/1,4.29
1965/10/1,4.35
1965/11/1,4.45
1965/12/1,4.62
1966/1/1,4.61
1966/2/1,4.83
1966/3/1,4.87
1966/4/1,4.75
1966/5/1,4.78
1966/6/1,4.81
1966/7/1,5.02
1966/8/1,5.22
1966/9/1,5.18
1966/10/1,5.01
1966/11/1,5.16
1966/12/1,4.84
1967/1/1,4.58
1967/2/1,4.63
1967/3/1,4.54
1967/4/1,4.59
1967/5/1,4.85
1967/6/1,5.02
1967/7/1,5.16
1967/8/1,5.28
1967/9/1,5.3
1967/10/1,5.48
1967/11/1,5.75
1967/12/1,5.7
1968/1/1,5.53
1968/2/1,5.56
1968/3/1,5.74
1968/4/1,5.64
1968/5/1,5.87
1968/6/1,5.72
1968/7/1,5.5
1968/8/1,5.42
1968/9/1,5.46
1968/10/1,5.58
1968/11/1,5.7
1968/12/1,6.03
1969/1/1,6.04
1969/2/1,6.19
1969/3/1,6.3
1969/4/1,6.17
1969/5/1,6.32
1969/6/1,6.57
1969/7/1,6.72
1969/8/1,6.69
1969/9/1,7.16
1969/10/1,7.1
1969/11/1,7.14
1969/12/1,7.65
1970/1/1,7.79
1970/2/1,7.24
1970/3/1,7.07
1970/4/1,7.39
1970/5/1,7.91
1970/6/1,7.84
1970/7/1,7.46
1970/8/1,7.53
1970/9/1,7.39
1970/10/1,7.33
1970/11/1,6.84
1970/12/1,6.39
1971/1/1,6.24
1971/2/1,6.11
1971/3/1,5.7
1971/4/1,5.83
1971/5/1,6.39
1971/6/1,6.52
1971/7/1,6.73
1971/8/1,6.58
1971/9/1,6.14
1971/10/1,5.93
1971/11/1,5.81
1971/12/1,5.93
1972/1/1,5.95
1972/2/1,6.08
1972/3/1,6.07
1972/4/1,6.19
1972/5/1,6.13
1972/6/1,6.11
1972/7/1,6.11
1972/8/1,6.21
1972/9/1,6.55
1972/10/1,6.48
1972/11/1,6.28
1972/12/1,6.36
1973/1/1,6.46
1973/2/1,6.64
1973/3/1,6.71
1973/4/1,6.67
1973/5/1,6.85
1973/6/1,6.9
1973/7/1,7.13
1973/8/1,7.4
1973/9/1,7.09
1973/10/1,6.79
1973/11/1,6.73
1973/12/1,6.74
1974/1/1,6.99
1974/2/1,6.96
1974/3/1,7.21
1974/4/1,7.51
1974/5/1,7.58
1974/6/1,7.54
1974/7/1,7.81
1974/8/1,8.04
1974/9/1,8.04
1974/10/1,7.9
1974/11/1,7.68
1974/12/1,7.43
1975/1/1,7.5
1975/2/1,7.39
1975/3/1,7.73
1975/4/1,8.23
1975/5/1,8.06
1975/6/1,7.86
1975/7/1,8.06
1975/8/1,8.4
1975/9/1,8.43
1975/10/1,8.14
1975/11/1,8.05
1975/12/1,8
1976/1/1,7.74
1976/2/1,7.79
1976/3/1,7.73
1976/4/1,7.56
1976/5/1,7.9
1976/6/1,7.86
1976/7/1,7.83
1976/8/1,7.77
1976/9/1,7.59
1976/10/1,7.41
1976/11/1,7.29
1976/12/1,6.87
1977/1/1,7.21
1977/2/1,7.39
1977/3/1,7.46
1977/4/1,7.37
1977/5/1,7.46
1977/6/1,7.28
1977/7/1,7.33
1977/8/1,7.4
1977/9/1,7.34
1977/10/1,7.52
1977/11/1,7.58
1977/12/1,7.69
1978/1/1,7.96
1978/2/1,8.03
1978/3/1,8.04
1978/4/1,8.15
1978/5/1,8.35
1978/6/1,8.46
1978/7/1,8.64
1978/8/1,8.41
1978/9/1,8.42
1978/10/1,8.64
1978/11/1,8.81
1978/12/1,9.01
1979/1/1,9.1
1979/2/1,9.1
1979/3/1,9.12
1979/4/1,9.18
1979/5/1,9.25
1979/6/1,8.91
1979/7/1,8.95
1979/8/1,9.03
1979/9/1,9.33
1979/10/1,10.3
1979/11/1,10.65
1979/12/1,10.39
1980/1/1,10.8
1980/2/1,12.41
1980/3/1,12.75
1980/4/1,11.47
1980/5/1,10.18
1980/6/1,9.78
1980/7/1,10.25
1980/8/1,11.1
1980/9/1,11.51
1980/10/1,11.75
1980/11/1,12.68
1980/12/1,12.84
1981/1/1,12.57
1981/2/1,13.19
1981/3/1,13.12
1981/4/1,13.68
1981/5/1,14.1
1981/6/1,13.47
1981/7/1,14.28
1981/8/1,14.94
1981/9/1,15.32
1981/10/1,15.15
1981/11/1,13.39
1981/12/1,13.72
1982/1/1,14.59
1982/2/1,14.43
1982/3/1,13.86
1982/4/1,13.87
1982/5/1,13.62
1982/6/1,14.3
1982/7/1,13.95
1982/8/1,13.06
1982/9/1,12.34
1982/10/1,10.91
1982/11/1,10.55
1982/12/1,10.54
1983/1/1,10.46
1983/2/1,10.72
1983/3/1,10.51
1983/4/1,10.4
1983/5/1,10.38
1983/6/1,10.85
1983/7/1,11.38
1983/8/1,11.85
1983/9/1,11.65
1983/10/1,11.54
1983/11/1,11.69
1983/12/1,11.83
1984/1/1,11.67
1984/2/1,11.84
1984/3/1,12.32
1984/4/1,12.63
1984/5/1,13.41
1984/6/1,13.56
1984/7/1,13.36
1984/8/1,12.72
1984/9/1,12.52
1984/10/1,12.16
1984/11/1,11.57
1984/12/1,11.5
1985/1/1,11.38
1985/2/1,11.51
1985/3/1,11.86
